Admission Requirements to Select Public Universities,,,,,
NAME OF UNIVERISTY,,,,,
West Texas A&M University,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Canyon, TX.",25,0,0,34.979829,-101.915826
,50,18,860,,
,75,21,980,,
,100,23,1050,,
Prarie View A&M University,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Prarie View, TX.",10,0,0,30.086705,-95.989647
Sam Houston State University,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Huntsville, TX.",10,0,0,30.713244,-95.55038
,3.5,17,930,,
,3.0,19,1010,,
,2.5,22,1110,,
,2.25,25,1210,,
Sul Ross State University,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Alpine, TX.",50,0,0,30.368084,-103.630811
,100,20,1000,,
Midwestern State University,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Wichita Falls, TX.",10,0,0,33.876298,-98.519809
,50,21,1070,,
,75,23,1140,,
,100,24,1180,,
Stephen F. Austin State University,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Nacogdoches, TX.",10,0,0,31.621259,-94.652457
,25,17,930,,
,50,20,1030,,
,75,24,1170,,
Dallas Baptist University,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Dallas, TX.",2.5,21,1020,32.710065,-96.946982
St. Edward's University,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Austin, TX.",25,24,1100,30.231722,-97.757941
Concordia University of Texas,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Austin, TX.",2.5,22,1020,30.420941,-97.836282
Dallas Christian College,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Dallas, TX.",2.5,19,900,32.913702,-96.887586
East Texas Baptist University,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Marshall, TX.",30,18,860,32.554096,-94.374769
Hardin-Simmons University,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Abilene, TX.",25,20,1020,32.475068,-99.73255
Huston-Tilloston University,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Austin, TX.",20,20,900,30.264681,-97.722331
,2.5,20,900,,
Jarvis Christian College,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Hawkins, TX.",50,18,940,32.588474,-95.204114
,2.0,18,940,,
Lubbock Christian University,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Lubbock, TX.",100,25,1220,33.577687,-101.93472
Texas Wesleyan University,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Forth Worth, TX.",2.5,19,920,32.732392,-97.280131
University of Mary Hardin-Baylor,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Belton, TX.",10,0,0,31.065598,-97.464022
,50,20,1030,,
,100,21,1070,,
University of St. Thomas,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Houston, TX.",2.8,0,0,29.738228,-95.39164
Wayland Baptist University,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Plainview, TX.",50,18,850,34.186713,-101.726967
,75,20,950,,
,100,21,1010,,
Paul Quinn College,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Dallas, TX.",2.75,0,0,32.67897,-96.755886
Schreiner University,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Kerrville, TX.",50,22,1000,30.026695,-99.130028
Texas Lutheran University,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Seguin, TX.",15,0,0,29.57208,-97.985062
,3.5,0,0,,
,3.0,24,1090,,
,,,,,
Total # of Schools = 49,,,,,
